code	Grevesse2007	Amass	I1/D0	I2/rdmass	I3	I4	maxcharge
7	-4.26	14.007	14.5341	29.6013	47.4492	77.4735	3
8	-3.38	15.999	13.6181	35.1211	54.9355	77.4135	3
9	-7.48	18.998	17.4228	34.9708	62.7084	87.1398	1
10	-4.20	20.18	21.5646	40.963	63.4551	97.1168	1
11	-5.87	22.99	5.1391	47.2864	71.62	98.91	3
12	-4.51	24.305	7.6462	15.0353	80.1437	109.2655	3
13	-5.67	26.982	5.9858	18.8286	28.4477	119.992	3
14	-4.53	28.086	8.1517	16.3458	33.493	45.1418	3
15	-6.68	30.974	10.4867	19.7695	30.2027	51.4439	2
16	-4.90	32.065	10.36	23.3379	34.79	47.2219	3
17	-6.54	35.453	12.9676	23.8136	39.9105	53.4652	1
18	-5.86	39.948	15.7596	27.6296	40.735	59.686	1
19	-6.96	39.098	4.3407	31.6284	45.806	60.9134	3
20	-5.73	40.078	6.1132	11.8717	50.9131	67.27	3
21	-8.87	44.956	6.5615	12.7998	24.7567	73.4894	2
22	-7.14	47.867	6.8281	13.5755	27.4917	43.2672	2
23	-8.04	50.942	6.7462	14.6549	29.3111	46.7086	2
24	-6.40	51.996	6.7665	16.4857	30.9589	49.1597	2
25	-6.65	54.938	7.434	15.64	33.668	51.2	2
26	-4.59	55.845	7.9024	16.1877	30.6514	54.801	3
27	-7.12	58.933	7.881	17.0844	33.5	51.27	2
28	-5.81	58.693	7.6398	18.1688	35.1867	54.925	2
29	-7.83	63.546	7.7264	20.2924	36.8407	57.3799	2
30	-7.44	65.409	9.3942	17.9644	39.7233	59.5732	2
31	-9.16	69.723	5.9993	20.5151	30.7258	63.2406	2
32	-8.46	72.64	7.8994	15.9346	34.0576	45.7155	2
33	-9.75	74.922	9.7886	18.5892	28.351	50.13	1
34	-8.71	78.96	9.7524	21.1889	30.8204	42.945	1
35	-9.48	79.904	11.8138	21.591	36	47.3	1
36	-8.79	83.798	13.9996	24.35984	36.9498	52.4949	1
37	-9.44	85.468	4.1771	27.28954	39.0178	52.1973	1
38	-9.12	87.62	5.6949	11.0301	42.89	57	1
39	-9.83	88.906	6.2173	12.22	20.52	60.597	1
40	-9.46	91.224	6.6339	13.13	23.1702	34.4184	1
41	-10.62	92.906	6.7589	14	25.04	38.3	1
42	-10.12	95.94	7.0924	16.1551	27.1277	46.3701	1
43	-20	98	7.28	15.26	29.54	46	1
44	-10.20	101.07	7.3605	16.76	28.47	50	1
45	-10.92	102.906	7.4589	18.08	31.06	48	1
46	-10.38	106.42	8.3369	19.43	32.93	53	1
47	-11.10	107.868	7.5762	21.47746	34.83	56	1
48	-10.27	112.411	8.9938	16.90831	37.48	59	1
49	-10.44	114.818	5.7864	18.8703	28.03	54.4	1
50	-10.04	118.71	7.3439	14.6322	30.5026	48.73502	1
51	-11.04	121.76	8.6084	16.63	25.3	44.2	1
52	-9.85	127.6	9.0096	18.6	27.96	37.41	1
53	-10.53	126.904	10.4513	19.1313	33	42	1
