wave_peak	wave_base	wave_top	note
1609.52951	1609.45703	1609.74695	FeH
1609.79551	1609.74695	1609.87692	HCN
1609.97444	1609.87692	1610.05687	CN 1
1611.64932	1611.58645	1611.81638	OH 1
1612.02681	1611.92635	1612.07631	NO 1
1612.18542	1612.07631	1612.23627	NO 1
1613.18098	1612.99606	1613.25599	OH 1
1614.04160	1613.90581	1614.15574	FeH
1614.26449	1614.15574	1614.30570	Fe 1
1614.40389	1614.30570	1614.50564	FeH
1616.35435	1616.13519	1616.49509	Si 1
1616.72134	1616.60506	1616.80501	FeH
1616.87801	1616.80501	1616.91498	NO 1
1616.94466	1616.91498	1617.05494	NO 1
1618.42727	1618.35458	1618.64450	FeH
1619.21218	1619.11437	1619.33431	OH 1
1619.49447	1619.33431	1619.55425	Fe 1
1619.68542	1619.55425	1619.87416	Ca 1
1620.03969	1619.93415	1620.20407	V 1
1620.27915	1620.20407	1620.31404	Fe 1
1620.41499	1620.31404	1620.54398	Fe 1
1620.69950	1620.54398	1620.92388	OH 1
1621.16154	1621.10383	1621.23379	OH 1
1621.37708	1621.23379	1621.43374	OH 1
1621.68697	1621.59369	1621.84362	OH 1
1624.13067	1623.97304	1624.22297	OH 1
1624.57603	1624.46290	1624.69284	Fe 1
1624.78039	1624.69284	1624.87279	OH 1
1624.95948	1624.87279	1625.05274	FeH
1625.15099	1625.05274	1625.23269	FeH
1625.27020	1625.23269	1625.34266	Fe 1
1625.50460	1625.34266	1625.86252	OH 1
1626.00478	1625.86252	1626.15244	OH 1
1626.30939	1626.15244	1626.33239	FeH
1627.54982	1627.47207	1627.63203	OH 1
1627.88163	1627.77199	1628.04192	FeH
1628.47866	1628.37183	1628.73173	Fe 1
1628.89987	1628.73173	1629.07163	FeH
1629.42243	1629.34156	1629.57150	HCl
1629.65101	1629.57150	1629.72145	Fe 1
1629.77981	1629.72145	1629.84142	SiH
1629.92916	1629.84142	1630.02137	Ni 1
1630.68734	1630.58122	1630.76117	FeH
1630.79414	1630.76117	1630.85114	NO 1
1631.12460	1631.03109	1631.19105	FeH
1633.91693	1633.78034	1634.03027	NO 1
1634.72487	1634.66010	1634.75007	Ca 1
1635.21130	1635.11997	1635.33991	CN 1
1635.45530	1635.33991	1635.49986	OH 1
1635.79073	1635.67981	1635.90975	FeH
1636.17030	1636.08970	1636.30964	FeH
1636.45112	1636.35963	1636.58956	OH 1
1637.73166	1637.57929	1637.80923	Fe 1
1638.36720	1638.20912	1638.43906	OH 1
1639.27352	1639.16885	1639.45877	OH 1
1639.55953	1639.45877	1639.68871	FeH
1639.71668	1639.68871	1639.79868	CN 1
1639.89707	1639.79868	1640.04861	FeH
1640.16213	1640.04861	1640.29854	Ti 1
1640.65040	1640.56847	1640.72843	FeH
1641.27084	1641.13831	1641.47822	FeH
1641.62146	1641.56819	1641.67816	NO 1
1641.73417	1641.67816	1641.81813	NO 1
1651.88269	1651.84537	1652.00532	Fe 1
1652.11189	1652.00532	1652.21526	FeH
1652.33794	1652.21526	1652.48519	OH 1
1652.61603	1652.48519	1652.76511	OH 1
1652.84701	1652.76511	1652.89508	FeH
1653.00268	1652.89508	1653.21499	FeH
1653.44670	1653.21499	1653.53490	OH 1
1653.84980	1653.67486	1654.01477	CN 1
1654.12305	1654.01477	1654.22471	Fe 1
1654.65900	1654.54462	1654.75456	FeH
1656.18972	1656.10419	1656.26415	Fe 1
1656.62642	1656.55407	1656.69403	NO 1
1656.97103	1656.90397	1656.99395	Si 1
1657.13299	1656.99395	1657.29387	Si 1
1657.44544	1657.29387	1657.56379	NO 1
1658.13236	1657.79373	1658.18362	Fe 1
1658.23310	1658.18362	1658.36357	CN 1
1659.70490	1659.60323	1659.74319	S 1
1659.77279	1659.74319	1659.88315	NO 1
1660.00832	1659.88315	1660.17307	FeH
1660.53548	1660.50298	1660.63295	OH 1
1660.73572	1660.63295	1660.89288	OH 1
1661.16758	1661.05283	1661.30276	FeH
1662.91945	1662.81235	1663.04228	FeH
1663.19661	1663.04228	1663.41218	Mg 1
1663.68284	1663.60213	1663.76209	FeH
1664.61425	1664.49188	1664.68183	CN 1
